Marca,Modelo,Código API
Audi,Q5 Perf. Black 2.0 TFSIe S.Tr. Qt (Hib.),10045
Audi,Q5 Performance 2.0 TFSIe S.Tr. Qt (Hib.),10046
Audi,Q5 Prestige 2.0 TFSI Quattro S tronic,8584
Audi,Q5 Prestige Plus 2.0 TFSI Quat. S tronic,8585
Audi,Q5 SB P Black. 2.0 TFSIe S.Tr. Qt (Hib.),10047
Audi,Q5 SB Perf. 2.0 TFSIe S.Tr. Qt (Hib.),10048
Audi,Q5 S-Line 2.0 TFSI Quattro S-tronic,8773
Audi,Q5 S-Line Black 2.0 TFSI Quat. S-Tronic,9486
Audi,Q5 SPB. S-Line Black 2.0 TFSI Qua.S-Tron,9526
Audi,Q5 Sportback S-Line 2.0 TFSI Quat.S-Tron,9527
Audi,Q6 E-TRON Quattro Perf. Black (Elétrico),11325
Audi,Q6 E-TRON Quattro Performance (Elétrico),11326
Audi,Q7 3.0 V6 TDI Quat.Tip. 5p Die./Perfor.,7917
Audi,Q7 3.0 V6 TFSI  Quat.Tip.5p/ Perf.(Híb.),10049
Audi,Q7 3.6 V6 284cv Quattro Tiptronic,4694
Audi,Q7 4.2 V8 40V 350cv Quattro Tiptronic,4184
Audi,Q7 Perf. Black 3.0 TFSI Quat.Tip.(Híb.),10050
Audi,Q7 Perf.Black 3.0 TDI Quat.Tip.5p Dies.,8658
Audi,Q7 S-Line 3.0 V6 TFSI Qua. Tip. (Híb.)  ,11297
Audi,Q7 S-Line 3.0 V6 TFSI Quattro Tiptronic,9205
Audi,Q8 E-TRON Launch Edition (Elétrico),10869
Audi,Q8 E-TRON Performance Black (Elétrico),10870
Audi,Q8 E-TRON Sportb. Perf. Black (Elétrico),10786
Audi,Q8 E-TRON Sportb.Launch Edt. (Elétrico),10827
Audi,Q8 Perf.Black 3.0 TFSI Quat. S-tr/(Híb.),10996
Audi,Q8 Perfo. 3.0 TFSI Quattro S-tron/(Híb.),10997
Audi,R8 4.2 V8 426cv Quattro R-tronic,5235
Audi,R8 5.2 V10 Quattro R-tronic/S-tronic,5236
Audi,R8 GT 5.2 V10 560cv Quattro R-tronic,5974
Audi,R8 Spyder 5.2 Quattro R-tronic/S-tronic,5550
Audi,RS E-TRON GT Quattro Aut. (Elétrico),9606
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,6865
Audi,RS Q3 Sportback 2.5 TFSI Quattro S-tron.,9292
Audi,RS Q8 4.0 Bi-TB V8 FSI Quattro Tiptronic,9224
Audi,RS3 Sedan 2.5 TFSI Quattro S-tronic,8175
Audi,RS3 Sportback 2.5 TFSI Quattro S-tronic,5922
Audi,RS4 2.7 Avant V6 30V BI-TB Quattro 380cv,130
Audi,RS4 2.9 Avant V6 TFSI Quattro Tiptronic,8628
Audi,RS4 4.2 Avant 32V FSI Quattro S-tronic,6487
Audi,RS5 4.2 FSI V8 450cv Quattro S-Tron. 2p,5410
Audi,RS5 Coupê 2.9 V6 TFSI Quattro Tiptronic,8629
